id;name;legal_id;enabled
1;Assistant;Generic heuristic;true
2;mint green payment Bedfordshire;Rustic Team-oriented firmware;true
3;mission-critical auxiliary;functionalities;true
4;Western Sahara;Malta scale deposit;true
5;indexing Chile;Extended;false
6;Pa'anga Directives Direct;Villages fuchsia Administrator;false
7;Uzbekistan Sum;artificial intelligence;true
8;Ergonomic California withdrawal;invoice secondary database;false
9;Tennessee deposit transmit;Ford;false
10;Small Credit Card Account Chicken;Personal Loan Account;true
